,Code,name,ownership,sponsor,composition,nature,enrolment2007,nTeachers,pupil2TeacherRatio,District,Division,Location,Sublocation,Costituency,Province,coordinates,lat,lon,county
104,L3040526,PWANI HIGH SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY AND BOARDING,60,6,10.0,MOMBASA,KISAUNI,BAMBURI,MWEMBE LEGEZA,KISAUNI,COAST,"(-3.98902000000, 39.72087000000)",-3.98902,39.72087,Mombasa
105,D3020170,MNYENZENI SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY AND BOARDING,254,10,25.4,KWALE,SAMBURU,KASEMENI,MNYENZENI,KINANGO,COAST,"(-3.98826700000, 39.48696700000)",-3.988267,39.486967,Kwale
106,L3040514,JUNDA HIGH SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,83,11,7.545454545454546,MOMBASA,KISAUNI,BAMBURI,MWEMBE LEGEZA,KISAUNI,COAST,"(-3.97387000000, 39.72822000000)",-3.97387,39.72822,Mombasa
107,L3040517,JOLAURABI SEC SCH,PRIVATE,NGO/CBO,MIXED,DAY,42,4,10.5,MOMBASA,KISAUNI,BAMBURI,MWEMBE LEGEZA,KISAUNI,COAST,"(-3.97355000000, 39.72902000000)",-3.97355,39.72902,Mombasa
108,L3040810,KASHANI SEC SCH,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,180,7,25.714285714285715,MOMBASA,KISAUNI,BAMBURI,BAMBURI,KISAUNI,COAST,"(-3.96995000000, 39.69991000000)",-3.96995,39.69991,Mombasa
109,L3040482,BRAEBURN MOMBASA INTERNATIONAL SCH SEC,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,49,15,3.2666666666666666,MOMBASA,KISAUNI,BAMBURI,SHANZU,KISAUNI,COAST,"(-3.96926000000, 39.74525000000)",-3.96926,39.74525,Mombasa
110,D3020186,MAZERAS HIGH SCH,PUBLIC,RELIGIOUS ORGANIZATION,BOYS ONLY,BOARDING,348,20,17.4,KWALE,SAMBURU,KASEMENI,MAZERAS,KINANGO,COAST,"(-3.96660300000, 39.53680000000)",-3.966603,39.5368,Kwale
111,L3040479,SHIMO LA TEWA SCHOOL - SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,BOYS ONLY,BOARDING,651,38,17.13157894736842,MOMBASA,KISAUNI,BAMBURI,SHANZU,KISAUNI,COAST,"(-3.96574000000, 39.74436000000)",-3.96574,39.74436,Mombasa
112,L3040497,SHANZU MIXED SEC SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,40,6,6.666666666666667,MOMBASA,KISAUNI,BAMBURI,MWEMBE LEGEZA,KISAUNI,COAST,"(-3.96546000000, 39.73220000000)",-3.96546,39.7322,Mombasa
113,D3020187,MAZERAS GIRLS MEMORIAL HIGH SCH,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,DAY,226,16,14.125,KWALE,SAMBURU,KASEMENI,MAZERAS,KINANGO,COAST,"(-3.96244200000, 39.53758200000)",-3.962442,39.537582,Kwale
114,H3010202,PEFA HIGH SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,48,5,9.6,KILIFI,KIKAMBALA,MTWAPA,SHIMO LA TEWA,BAHARI,COAST,"(-3.94942900000, 39.74213100000)",-3.949429,39.742131,Kilifi
115,H3010196,ST. TIMOTHY SEC,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY AND BOARDING,90,9,10.0,KILIFI,KIKAMBALA,MTWAPA,SHIMO LA TEWA,BAHARI,COAST,"(-3.94901100000, 39.75300000000)",-3.949011,39.753,Kilifi
116,H3010239,MTWAPA ELITE SEC,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,17,8,2.125,KILIFI,KIKAMBALA,MTWAPA,SHIMO LA TEWA,BAHARI,COAST,"(-3.94064700000, 39.74323700000)",-3.940647,39.743237,Kilifi
117,H3010170,K.P SENIOR SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,165,6,27.5,KILIFI,KIKAMBALA,MTWAPA,SHIMO LA TEWA,BAHARI,COAST,"(-3.94040000000, 39.76237600000)",-3.9404,39.762376,Kilifi
118,H3010166,CORAL SEC,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY AND BOARDING,160,14,11.428571428571429,KILIFI,KIKAMBALA,MTWAPA,SHIMO LA TEWA,BAHARI,COAST,"(-3.93732600000, 39.75975700000)",-3.937326,39.759757,Kilifi
119,L3040807,MWAKIRUNGE SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,49,5,9.8,MOMBASA,KISAUNI,BAMBURI,MWAKIRUNGE,KISAUNI,COAST,"(-3.93460000000, 39.65125000000)",-3.9346,39.65125,Mombasa
120,A3010242,DR.KRAPF MEMORIAL SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY AND BOARDING,456,23,19.82608695652174,KILIFI,KALOLENI,RABAI,KISURUTINI/MWELE/SIM,KALOLENI,COAST,"(-3.93025000000, 39.57199500000)",-3.93025,39.571995,Kilifi
121,H3010138,MTWAPA NORTH SEC,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,136,9,15.11111111111111,KILIFI,KIKAMBALA,MTWAPA,SHIMO LA TEWA,BAHARI,COAST,"(-3.92590200000, 39.74946400000)",-3.925902,39.749464,Kilifi
122,A3010240,RABAI SEC,PUBLIC,COMMUNITY,MIXED,DAY,181,8,22.625,KILIFI,KALOLENI,RABAI,KALIANGOMBE/JIMBA,KALOLENI,COAST,"(-3.92411200000, 39.54769700000)",-3.924112,39.547697,Kilifi
123,H3010139,RISE AND SHINE MTWAPA COMPLEX,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,42,3,14.0,KILIFI,KIKAMBALA,MTWAPA,KANAMAI,BAHARI,COAST,"(-3.91365700000, 39.75098100000)",-3.913657,39.750981,Kilifi
124,A3010250,KOMBENI GIRLS SEC,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,BOARDING,370,19,19.473684210526315,KILIFI,KALOLENI,MWAWESA,MWAMUTSUNGA,KALOLENI,COAST,"(-3.91122600000, 39.58601500000)",-3.911226,39.586015,Kilifi
125,A3010073,RIBE BOYS SEC,PUBLIC,RELIGIOUS ORGANIZATION,BOYS ONLY,BOARDING,407,16,25.4375,KILIFI,KALOLENI,RIBE,CHAURINGO,KALOLENI,COAST,"(-3.88577500000, 39.63051800000)",-3.885775,39.630518,Kilifi
126,A3010070,RIBE GIRLS SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,GIRLS ONLY,BOARDING,391,18,21.72222222222222,KILIFI,KALOLENI,RIBE,CHAURINGO,KALOLENI,COAST,"(-3.87988900000, 39.63368300000)",-3.879889,39.633683,Kilifi
127,A3010272,KASIDI SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,318,13,24.46153846153846,KILIFI,KALOLENI,RURUMA,MLEJI,KALOLENI,COAST,"(-3.87650400000, 39.60662600000)",-3.876504,39.606626,Kilifi
128,D3020130,MWAVUMBO SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,486,18,27.0,KWALE,SAMBURU,MWAVUMBO,KALALANI,KINANGO,COAST,"(-3.87397300000, 39.46187000000)",-3.873973,39.46187,Kwale
129,H3010123,MSUMARINI SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,353,16,22.0625,KILIFI,KIKAMBALA,MTWAPA,KIJIPWA,BAHARI,COAST,"(-3.86592300000, 39.80348900000)",-3.865923,39.803489,Kilifi
130,A3010084,KAMBE SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,143,8,17.875,KILIFI,KALOLENI,KAMBE,PANGANI/MAERENI,KALOLENI,COAST,"(-3.86181200000, 39.65541500000)",-3.861812,39.655415,Kilifi
131,A3010221,MARIAKANI SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,BOYS ONLY,DAY AND BOARDING,500,25,20.0,KILIFI,KALOLENI,MARIAKANI,MARIAKANI/MITANGONI,KALOLENI,COAST,"(-3.86151300000, 39.48123600000)",-3.861513,39.481236,Kilifi
132,A3010125,MESHA SENIOR SEC,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY,104,7,14.857142857142858,KILIFI,KALOLENI,MARIAKANI,MARIAKANI/MITANGONI,KALOLENI,COAST,"(-3.85617400000, 39.46961800000)",-3.856174,39.469618,Kilifi
133,A3010228,BABS RIDGE SEC,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,37,6,6.166666666666667,KILIFI,KALOLENI,MARIAKANI,MARIAKANI/MITANGONI,KALOLENI,COAST,"(-3.85396500000, 39.47339800000)",-3.853965,39.473398,Kilifi
134,A3010215,MOI KADZONZO GIRLS SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,GIRLS ONLY,BOARDING,442,17,26.0,KILIFI,KALOLENI,MARIAKANI,KAWALA/KADZONZO,KALOLENI,COAST,"(-3.84923000000, 39.50685700000)",-3.84923,39.506857,Kilifi
135,A3010211,NGALA MEMORIAL SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY AND BOARDING,344,14,24.571428571428573,KILIFI,KALOLENI,KAYAFUNGO,MBALAMWENI,KALOLENI,COAST,"(-3.83626300000, 39.54585100000)",-3.836263,39.545851,Kilifi
136,A3010034,MAANDANI SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,254,12,21.166666666666668,KILIFI,KALOLENI,JIBANA,KWALE,KALOLENI,COAST,"(-3.83612900000, 39.64314100000)",-3.836129,39.643141,Kilifi
137,A3010202,ST GEORGES HIGH SCH,PUBLIC,RELIGIOUS ORGANIZATION,BOYS ONLY,BOARDING,495,22,22.5,KILIFI,KALOLENI,KALOLENI,KALOLENI/VISH./TSAKA,KALOLENI,COAST,"(-3.81771600000, 39.59323200000)",-3.817716,39.593232,Kilifi
138,A3010020,THE LORDRINGS,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,108,6,18.0,KILIFI,KALOLENI,KALOLENI,KALOLENI/VISH./TSAKA,KALOLENI,COAST,"(-3.81328900000, 39.62814500000)",-3.813289,39.628145,Kilifi
139,A3010019,ST JOHN'S GIRLS SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,BOARDING,725,30,24.166666666666668,KILIFI,KALOLENI,KALOLENI,KALOLENI/VISH./TSAKA,KALOLENI,COAST,"(-3.81099700000, 39.63336400000)",-3.810997,39.633364,Kilifi
140,A3010199,ST MICHAELS GIRLS SEC,PRIVATE,RELIGIOUS ORGANIZATION,GIRLS ONLY,BOARDING,128,7,18.285714285714285,KILIFI,KALOLENI,KAYAFUNGO,MURIMANI,KALOLENI,COAST,"(-3.81078300000, 39.58389900000)",-3.810783,39.583899,Kilifi
141,A3010051,KIZURINI SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,268,13,20.615384615384617,KILIFI,KALOLENI,KALOLENI,KALOLENI/VISH./TSAKA,KALOLENI,COAST,"(-3.81035200000, 39.61943300000)",-3.810352,39.619433,Kilifi
142,M3050487,MOI HIGH SCHOOL KASIGAU,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,314,16,19.625,TAITA TAVETA,VOI,KASIGAU,RUKANGA,VOI,COAST,"(-3.80872000000, 38.63709000000)",-3.80872,38.63709,Taita Taveta
143,D3020226,SAMBURU SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,364,14,26.0,KWALE,SAMBURU,SAMBURU,MATOPE,KINANGO,COAST,"(-3.79306100000, 39.25731200000)",-3.793061,39.257312,Kwale
144,H3010083,SHARIANI SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,242,11,22.0,KILIFI,KIKAMBALA,JUNJU,KURUWITU,BAHARI,COAST,"(-3.78883500000, 39.83060800000)",-3.788835,39.830608,Kilifi
145,H3010481,ST. TERESAS SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,305,13,23.46153846153846,KILIFI,CHONYI,BANDA RA SALAMA,MWEMBE KATI,BAHARI,COAST,"(-3.78183100000, 39.70220100000)",-3.781831,39.702201,Kilifi
146,A3010006,CHANAGANDE SEC SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,435,19,22.894736842105264,KILIFI,KALOLENI,KALOLENI,CHALANI/MIHINGONI,KALOLENI,COAST,"(-3.77152400000, 39.63702400000)",-3.771524,39.637024,Kilifi
147,H3010476,LUTSANGANI SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,396,23,17.217391304347824,KILIFI,CHONYI,ZIANI,ZIANI,BAHARI,COAST,"(-3.75521400000, 39.73711600000)",-3.755214,39.737116,Kilifi
148,D3020297,TARU SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,341,16,21.3125,KWALE,SAMBURU,TARU,TARU,KINANGO,COAST,"(-3.75466200000, 39.12945300000)",-3.754662,39.129453,Kwale
149,D3020295,MACKINNON ROAD SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,62,4,15.5,KWALE,SAMBURU,MACKNNON RD,MACKINNON RD,KINANGO,COAST,"(-3.73736800000, 39.03461500000)",-3.737368,39.034615,Kwale
151,H3010486,DZITSONI SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,442,16,27.625,KILIFI,CHONYI,CHASIMBA,KITSOENI,BAHARI,COAST,"(-3.69534200000, 39.72048800000)",-3.695342,39.720488,Kilifi
152,H3010056,TAKAUNGU SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,125,9,13.88888888888889,KILIFI,KIKAMBALA,TAKAUNGU MAVUENI,TAKAUNGU,BAHARI,COAST,"(-3.68099400000, 39.86257300000)",-3.680994,39.862573,Kilifi
153,H3010035,KILIFI HIGH VISION SEC,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,7,3,2.3333333333333335,KILIFI,KIKAMBALA,TAKAUNGU MAVUENI,KIRIBA/WANGWANI,BAHARI,COAST,"(-3.67792700000, 39.81455400000)",-3.677927,39.814554,Kilifi
154,H3010036,BAHARI GIRLS SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,GIRLS ONLY,BOARDING,363,20,18.15,KILIFI,KIKAMBALA,TAKAUNGU MAVUENI,MAVUENI/MAJAJANI,BAHARI,COAST,"(-3.67195700000, 39.80718200000)",-3.671957,39.807182,Kilifi
155,H3010009,KILIFI HIGH SCH CENTRE,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,111,6,18.5,KILIFI,BAHARI,KILIFI TOWNSHIP,MNARANI,BAHARI,COAST,"(-3.63941100000, 39.84833400000)",-3.639411,39.848334,Kilifi
156,H3010347,KING SOLOMON HIGH SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,20,4,5.0,KILIFI,BAHARI,KILIFI TOWNSHIP,SOKONI,BAHARI,COAST,"(-3.63025400000, 39.84585400000)",-3.630254,39.845854,Kilifi
157,H3010346,KILIFI HIGHLIGHTS ACADEMY SEC,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,178,7,25.428571428571427,KILIFI,BAHARI,KILIFI TOWNSHIP,SOKONI,BAHARI,COAST,"(-3.62895900000, 39.85111600000)",-3.628959,39.851116,Kilifi
158,H3010543,JARIBUNI SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY AND BOARDING,342,2,171.0,KILIFI,GANZE,KAUMA,VINAGONI,GANZE,COAST,"(-3.61853600000, 39.74242500000)",-3.618536,39.742425,Kilifi
159,H3010271,KILIFI TOWNSHIP SEC,PUBLIC,RELIGIOUS ORGANIZATION,BOYS ONLY,BOARDING,448,25,17.92,KILIFI,BAHARI,KILIFI TOWNSHIP,KONJORA,BAHARI,COAST,"(-3.61120900000, 39.84761700000)",-3.611209,39.847617,Kilifi
160,H3010354,FAITH MOUNT HIGH SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,12,5,2.4,KILIFI,BAHARI,KILIFI TOWNSHIP,HOSPITAL,BAHARI,COAST,"(-3.60381600000, 39.86426100000)",-3.603816,39.864261,Kilifi
161,M3050522,MARUNGU SECONDARY SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,38,4,9.5,TAITA TAVETA,VOI,MARUNGU,MAUNGU,VOI,COAST,"(-3.59441000000, 38.73591000000)",-3.59441,38.73591,Taita Taveta
162,H3010302,MAJAONI SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,415,14,29.642857142857142,KILIFI,BAHARI,TEZO,MTONDIA/MAJAONI,BAHARI,COAST,"(-3.55968700000, 39.86672300000)",-3.559687,39.866723,Kilifi
163,H3010555,GANZE SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY AND BOARDING,350,17,20.58823529411765,KILIFI,GANZE,GANZE,GANZE/TSANGALAWENI,GANZE,COAST,"(-3.54806000000, 39.69333000000)",-3.54806,39.69333,Kilifi
164,H3010383,SOKOKE SEC SCH,PUBLIC,COMMUNITY,MIXED,DAY AND BOARDING,325,18,18.055555555555557,KILIFI,VITENGENI,SOKOKE,NYARI,GANZE,COAST,"(-3.53974100000, 39.82083600000)",-3.539741,39.820836,Kilifi
165,H3010307,THE GREEN OLIVE SEC SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY AND BOARDING,32,3,10.666666666666666,KILIFI,BAHARI,NGERENYA,ZOWERANI,BAHARI,COAST,"(-3.53830600000, 39.90115100000)",-3.538306,39.901151,Kilifi
166,A3010303,GODOMA SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY AND BOARDING,390,20,19.5,KILIFI,BAMBA,BAMBA,PAZIANI,GANZE,COAST,"(-3.53787000000, 39.52559900000)",-3.53787,39.525599,Kilifi
167,M3050478,KAJIRE SECONDARY,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,137,9,15.222222222222221,TAITA TAVETA,VOI,SAGALLA,KISHAMBA,VOI,COAST,"(-3.51306000000, 38.61142000000)",-3.51306,38.61142,Taita Taveta
168,M3050420,MWATATE HIGH SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,176,8,22.0,TAITA TAVETA,MWATATE,MWACHABO,MWACHABO,MWATATE,COAST,"(-3.51107000000, 38.37571000000)",-3.51107,38.37571,Taita Taveta
169,M3050448,MWAKICHUCHU SECONDARY,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,264,14,18.857142857142858,TAITA TAVETA,VOI,SAGALLA,TERI,VOI,COAST,"(-3.50991000000, 38.57393000000)",-3.50991,38.57393,Taita Taveta
170,M3050288,TAITA ACADEMY SECONDARY,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,117,10,11.7,TAITA TAVETA,MWATATE,MWATATE,MWATATE,MWATATE,COAST,"(-3.49968000000, 38.37463000000)",-3.49968,38.37463,Taita Taveta
171,M3050476,MWAMBITI SECONDARY,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,211,9,23.444444444444443,TAITA TAVETA,VOI,SAGALLA,KISHAMBA,VOI,COAST,"(-3.49814000000, 38.62508000000)",-3.49814,38.62508,Taita Taveta
172,M3050452,OUR LADY OF PERPECTUAL SACCOUR SECONDARY,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,BOARDING,192,10,19.2,TAITA TAVETA,VOI,SAGALLA,TERI,VOI,COAST,"(-3.49431000000, 38.58437000000)",-3.49431,38.58437,Taita Taveta
173,M3050293,KENYATTA HIGH SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,BOYS ONLY,BOARDING,697,35,19.914285714285715,TAITA TAVETA,MWATATE,MWATATE,MWATATE,MWATATE,COAST,"(-3.49203000000, 38.37731000000)",-3.49203,38.37731,Taita Taveta
174,M3050678,ELDORO GIRLS SECONDARY,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,BOARDING,333,19,17.526315789473685,TAITA TAVETA,TAVETA,KIMORIGO,KIMORIGO,TAVETA,COAST,"(-3.47828000000, 37.68351000000)",-3.47828,37.68351,Taita Taveta
175,M3050357,MWATATE MIXED SECONDARY,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY AND BOARDING,271,12,22.583333333333332,TAITA TAVETA,MWATATE,MWATATE,MODAMBOGHO,MWATATE,COAST,"(-3.47663000000, 38.44964000000)",-3.47663,38.44964,Taita Taveta
176,M3050318,CHAWIA SECONDARY,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,22,4,5.5,TAITA TAVETA,MWATATE,CHAWIA,CHAWIA,MWATATE,COAST,"(-3.47328000000, 38.36204000000)",-3.47328,38.36204,Taita Taveta
179,M3050321,MURRAY GIRLS HIGH SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,BOARDING,513,28,18.321428571428573,TAITA TAVETA,MWATATE,CHAWIA,WUSI,MWATATE,COAST,"(-3.45346000000, 38.34818000000)",-3.45346,38.34818,Taita Taveta
180,M3050385,NGAMI SECONDARY,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,295,3,98.33333333333333,TAITA TAVETA,MWATATE,BURA,ILOLE,MWATATE,COAST,"(-3.45278000000, 38.30720000000)",-3.45278,38.3072,Taita Taveta
181,M3050296,MWAMBIONU SECONDARY,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,292,15,19.466666666666665,TAITA TAVETA,MWATATE,KISHAMBA,KAYA/ILOLE,MWATATE,COAST,"(-3.45202000000, 38.36141000000)",-3.45202,38.36141,Taita Taveta
182,M3050392,BURA GIRLS HIGH SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,BOARDING,510,24,21.25,TAITA TAVETA,MWATATE,BURA,ILOLE,MWATATE,COAST,"(-3.44983000000, 38.31160000000)",-3.44983,38.3116,Taita Taveta
183,M3050308,MWAFUGA HIGH SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,185,10,18.5,TAITA TAVETA,MWATATE,KIDAYA NGERENYI,KIDAYA NGERENYI,MWATATE,COAST,"(-3.43930000000, 38.34085000000)",-3.4393,38.34085,Taita Taveta
184,M3050542,COAST HIGH SCHOOL TAITA,PRIVATE,PRIVATE INDIVIDUAL,BOYS ONLY,DAY AND BOARDING,80,8,10.0,TAITA TAVETA,VOI,SAGALLA,NDARA/SAGALLA,VOI,COAST,"(-3.43896000000, 38.62128000000)",-3.43896,38.62128,Taita Taveta
185,M3050177,MUNDA SECONDARY,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,212,10,21.2,TAITA TAVETA,TAUSA,RONGE,RONGE NYIKA,VOI,COAST,"(-3.43191000000, 38.46886000000)",-3.43191,38.46886,Taita Taveta
186,M3050349,MWANDANGO SECONDARY,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,160,8,20.0,TAITA TAVETA,MWATATE,KISHAMBA,MWACHAWAZA,MWATATE,COAST,"(-3.43158000000, 38.38899000000)",-3.43158,38.38899,Taita Taveta
187,H3010415,ROKA SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,25,5,5.0,KILIFI,BAHARI,ROKA,ROKA,BAHARI,COAST,"(-3.43146900000, 39.90130200000)",-3.431469,39.901302,Kilifi
189,M3050211,MSHIMBA SECONDARY,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,124,8,15.5,TAITA TAVETA,TAUSA,RONGE,MSAU/RAHAI,VOI,COAST,"(-3.41779000000, 38.41171000000)",-3.41779,38.41171,Taita Taveta
190,M3050142,ST. MARY'S HIGH SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,BOYS ONLY,BOARDING,301,21,14.333333333333334,TAITA TAVETA,WUNDANYI,MGANGE,LUSHANGONYI,WUNDANYI,COAST,"(-3.41626000000, 38.33062000000)",-3.41626,38.33062,Taita Taveta
191,M3050416,MWAKITAU SECONDARY,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,96,7,13.714285714285714,TAITA TAVETA,MWATATE,MWAKITAU,MWAKITAU,MWATATE,COAST,"(-3.41554000000, 38.15308000000)",-3.41554,38.15308,Taita Taveta
192,M3050163,MWAKIWIWI SECONDARY,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,120,8,15.0,TAITA TAVETA,WUNDANYI,MGANGE,MGANGE DAWIDA,WUNDANYI,COAST,"(-3.41197000000, 38.31540000000)",-3.41197,38.3154,Taita Taveta
193,M3050171,HERIESTA SECONDARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,GIRLS ONLY,BOARDING,43,5,8.6,TAITA TAVETA,TAUSA,RONGE,RONGE NYIKA,VOI,COAST,"(-3.41102000000, 38.50093000000)",-3.41102,38.50093,Taita Taveta
194,M3050059,SENIOR CHIEF MWANGEKA GIRLS HIGH SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,DAY AND BOARDING,346,22,15.727272727272727,TAITA TAVETA,WUNDANYI,WUNDANYI,WUNDANYI,WUNDANYI,COAST,"(-3.40603000000, 38.35149000000)",-3.40603,38.35149,Taita Taveta
195,M3050017,KIWINDA SECONDARY,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,122,10,12.2,TAITA TAVETA,WUNDANYI,WUNDANYI,SHIGHARO,WUNDANYI,COAST,"(-3.40120000000, 38.37009000000)",-3.4012,38.37009,Taita Taveta
196,H3010668,VITENGENI BAPTIST SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,408,13,31.384615384615383,KILIFI,VITENGENI,VITENGENI,MADAMANI,GANZE,COAST,"(-3.39743800000, 39.77844200000)",-3.397438,39.778442,Kilifi
197,M3050046,DR. AGGREY HIGH SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,BOYS ONLY,DAY AND BOARDING,512,25,20.48,TAITA TAVETA,WUNDANYI,WUNDANYI,MTENI,WUNDANYI,COAST,"(-3.39621000000, 38.35962000000)",-3.39621,38.35962,Taita Taveta
198,M3050150,ST. JOHN'S SECONDARY,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,219,12,18.25,TAITA TAVETA,WUNDANYI,MGANGE,MGANGE NYIKA,WUNDANYI,COAST,"(-3.39525000000, 38.30889000000)",-3.39525,38.30889,Taita Taveta
199,M3050156,DALMAS MOKA SECONDARY,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,196,9,21.77777777777778,TAITA TAVETA,WUNDANYI,MWANDA,KISHAMBA,WUNDANYI,COAST,"(-3.39327000000, 38.28420000000)",-3.39327,38.2842,Taita Taveta
200,H3010430,KATANA NGALA SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,307,12,25.583333333333332,KILIFI,BAHARI,MATSANGONI,MATSANGONI,BAHARI,COAST,"(-3.39076600000, 39.92569700000)",-3.390766,39.925697,Kilifi
202,M3050641,TIMBILA HIGH SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,BOYS ONLY,DAY AND BOARDING,385,17,22.647058823529413,TAITA TAVETA,TAVETA,JIPE,KIMALA,TAVETA,COAST,"(-3.38872000000, 37.71546000000)",-3.38872,37.71546,Taita Taveta
